thread,path,calls,total_s,avg_s,tpe_s
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::constant_fold/taichi::lang::irpass::replace_all_usages_with",64,8.3e-05,1.29687e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::die",120,0.004204,3.50333e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::alg_simp",40,0.001152,2.88e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::alg_simp/taichi::lang::irpass::replace_all_usages_with",64,7.4e-05,1.15625e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::loop_invariant_code_motion",16,0.000157,9.8125e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify",40,0.000846,2.115e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify/taichi::lang::irpass::replace_all_usages_with",32,3.49999e-05,1.09375e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify/taichi::lang::irpass::type_check",32,0.000305,9.53125e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::whole_kernel_cse",16,0.004308,0.00026925,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::whole_kernel_cse/taichi::lang::irpass::replace_all_usages_with",88,0.000108,1.22727e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization",16,0.002032,0.000127,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::store_to_load_forwarding",16,0.00044,2.75e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::store_to_load_forwarding/taichi::lang::ControlFlowGraph::reaching_definition_analysis",16,0.000341,2.13125e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::dead_store_elimination",16,0.00064,4e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::dead_store_elimination/taichi::lang::ControlFlowGraph::live_variable_analysis",16,0.000249,1.55625e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::irpass::die",16,0.0004,2.5e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::die",8,0.000277,3.4625e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::flag_access",8,2.4e-05,3e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations",8,0.000545,6.8125e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations/taichi::lang::irpass::replace_all_usages_with",16,2.50001e-05,1.5625e-06,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations/taichi::lang::irpass::type_check",16,0.000254,1.5875e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::optimize_bit_struct_stores",8,0.000394,4.925e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::optimize_bit_struct_stores/taichi::lang::irpass::die",8,0.000218,2.725e-05,0
"9040","[Profiler thread 9040]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::scalarize",8,7.20001e-05,9.00001e-06,0
"9040","[Profiler thread 9040]/taichi::lang::TaskCodeGenLLVM::emit_to_module",8,0.002535,0.000316875,0
"9040","[Profiler thread 9040]/taichi::lang::TaskCodeGenLLVM::emit_to_module/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module",192,8.3e-05,4.32292e-07,0
"9040","[Profiler thread 9040]/taichi::lang::TaichiLLVMContext::eliminate_unused_functions",8,0.000458,5.725e-05,0
"17248","[Profiler thread 17248]/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module",3,0.010567,0.00352233,0
"17248","[Profiler thread 17248]/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module/taichi::lang::LlvmModuleBitcodeLoader::load",1,0.010532,0.010532,0
"17248","[Profiler thread 17248]/taichi::lang::`anonymous-namespace'::TaskCodeGenCPU::TaskCodeGenCPU",1,4e-06,4e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable",1,0.00277,0.00277,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::analysis::verify",11,0.000279,2.53636e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_atomics",2,0.000115,5.75e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_atomics/taichi::lang::irpass::type_check",2,3e-05,1.5e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::cache_loop_invariant_global_vars",1,4.7e-05,4.7e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::type_check",5,6.4e-05,1.28e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::replace_all_usages_with",1,2.99999e-06,2.99999e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_thread_local",1,4e-05,4e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_thread_local/taichi::lang::irpass::type_check",1,1.1e-05,1.1e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_mesh_thread_local",1,1.2e-05,1.2e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_mesh_thread_local/taichi::lang::irpass::type_check",1,1.1e-05,1.1e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_mesh_statements",1,1.7e-05,1.7e-05,0
